cnpj,status,nome,mensagem
21827425000149,ok,A. BERNARDES SOCIEDADE DE ADVOGADOS,A_ BERNARDES SOCIEDADE DE ADVOGADOS_04-2026_20260527_180013.xml
11147129000143,ok,MAFRA ASSESSORIA CONTABIL E EMPRESARIAL LTDA,MAFRA ASSESSORIA CONTABIL E EMPRESARIAL LTDA_04-2026_20260527_180030.xml
